State,County,Geographic Area Name,Population 16 years and over,Population 16 years and over: Labor Force Participation Rate,Population 16 years and over: Employment/Population Ratio,Population 16 years and over: Unemployment rate
01,001,"Autauga County, Alabama",47146,59.6,56.0,2.8
01,003,"Baldwin County, Alabama",189569,59.0,56.6,3.4
01,005,"Barbour County, Alabama",20399,44.0,41.4,5.8
01,007,"Bibb County, Alabama",18046,50.0,45.7,8.7
01,009,"Blount County, Alabama",47261,56.0,52.6,6.0
01,011,"Bullock County, Alabama",8376,46.4,44.7,3.7
01,013,"Butler County, Alabama",15203,52.9,49.3,6.8
01,015,"Calhoun County, Alabama",94627,56.6,52.3,6.9
01,017,"Chambers County, Alabama",28036,56.0,53.8,3.6
01,019,"Cherokee County, Alabama",20956,51.1,49.1,4.0
01,021,"Chilton County, Alabama",35294,56.4,53.5,5.3
01,023,"Choctaw County, Alabama",10532,45.4,43.0,5.2
01,025,"Clarke County, Alabama",18614,48.2,42.1,12.5
01,027,"Clay County, Alabama",11636,47.4,44.4,5.7
01,029,"Cleburne County, Alabama",12103,48.3,47.0,2.6
01,031,"Coffee County, Alabama",42478,57.4,51.3,4.8
01,033,"Colbert County, Alabama",46692,56.9,54.8,3.4
01,035,"Conecuh County, Alabama",9568,41.1,39.3,4.4
01,037,"Coosa County, Alabama",8825,46.4,43.8,4.4
01,039,"Covington County, Alabama",30145,53.1,50.1,5.5
01,041,"Crenshaw County, Alabama",10556,52.0,48.6,6.1
01,043,"Cullman County, Alabama",70954,58.1,55.6,4.3
01,045,"Dale County, Alabama",39197,55.8,46.2,7.8
01,047,"Dallas County, Alabama",30351,52.1,47.3,9.1
01,049,"DeKalb County, Alabama",56883,56.5,54.2,3.9
01,051,"Elmore County, Alabama",70825,58.6,55.4,4.2
01,053,"Escambia County, Alabama",29357,48.6,44.2,9.2
01,055,"Etowah County, Alabama",83569,56.7,53.3,6.0
01,057,"Fayette County, Alabama",13382,52.1,47.0,9.6
01,059,"Franklin County, Alabama",24985,56.1,53.9,3.8
01,061,"Geneva County, Alabama",21423,53.1,50.8,3.9
01,063,"Greene County, Alabama",6121,40.3,38.5,4.5
01,065,"Hale County, Alabama",11591,50.9,46.9,7.6
01,067,"Henry County, Alabama",14191,54.5,51.6,5.3
01,069,"Houston County, Alabama",85251,56.7,53.6,5.0
01,071,"Jackson County, Alabama",43027,50.5,47.4,6.0
01,073,"Jefferson County, Alabama",537683,61.3,57.9,5.4
01,075,"Lamar County, Alabama",11102,51.1,48.5,5.0
01,077,"Lauderdale County, Alabama",77733,58.1,55.9,3.6
01,079,"Lawrence County, Alabama",26784,53.3,51.7,3.0
01,081,"Lee County, Alabama",143029,59.6,56.9,3.8
01,083,"Limestone County, Alabama",84173,59.7,57.1,4.1
01,085,"Lowndes County, Alabama",8181,49.3,45.6,7.5
01,087,"Macon County, Alabama",16423,49.8,43.1,12.5
01,089,"Madison County, Alabama",315604,64.1,61.1,4.2
01,091,"Marengo County, Alabama",15434,50.6,49.2,2.8
01,093,"Marion County, Alabama",23947,51.7,48.3,6.5
01,095,"Marshall County, Alabama",75849,56.9,54.6,3.8
01,097,"Mobile County, Alabama",328379,57.4,53.7,5.9
01,099,"Monroe County, Alabama",16255,44.0,38.3,12.2
01,101,"Montgomery County, Alabama",180677,59.6,54.5,6.8
01,103,"Morgan County, Alabama",98341,58.5,56.0,4.2
01,105,"Perry County, Alabama",6880,39.8,33.4,15.7
01,107,"Pickens County, Alabama",15746,46.8,44.1,5.3
01,109,"Pike County, Alabama",27502,52.8,50.1,4.9
01,111,"Randolph County, Alabama",17952,49.6,48.0,3.2
01,113,"Russell County, Alabama",46044,55.6,49.1,6.5
01,115,"St. Clair County, Alabama",73891,59.3,56.6,4.3
01,117,"Shelby County, Alabama",179299,65.5,63.3,3.1
01,119,"Sumter County, Alabama",10124,46.3,42.5,8.2
01,121,"Talladega County, Alabama",66263,53.1,48.4,8.4
01,123,"Tallapoosa County, Alabama",33913,51.4,46.0,10.4
01,125,"Tuscaloosa County, Alabama",189439,61.6,58.1,5.5
01,127,"Walker County, Alabama",52243,52.4,49.3,5.7
01,129,"Washington County, Alabama",12747,47.0,43.9,6.3
01,131,"Wilcox County, Alabama",8367,44.8,40.0,10.7
01,133,"Winston County, Alabama",19441,52.7,50.3,4.4
02,013,"Aleutians East Borough, Alaska",3061,78.9,75.3,4.4
02,016,"Aleutians West Census Area, Alaska",4404,84.0,80.8,3.0
02,020,"Anchorage Municipality, Alaska",228369,69.9,62.3,5.2
02,050,"Bethel Census Area, Alaska",12669,62.1,51.8,16.2
02,060,"Bristol Bay Borough, Alaska",707,63.6,60.1,2.7
